accuracy,amenities,bed_type,cancel_policy,instant_book,person_capacity,price,rating_checkin,rating_cleanliness,rating_communication,response_rate,response_time,rev_count,room_type,satisfaction_guest,url
10,"[35, 4, 5, 37, 8, 40, 41, 45, 46, 51, 21, 54, 25, 30, 31]",Real Bed,5,TRUE,2,64,10,9,10,1,38,86,Entire home/apt,94,https://www.airbnb.com/rooms/4697124?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
9,"[1, 33, 2, 34, 3, 35, 4, 36, 5, 8, 40, 41, 43, 44, 45, 46, 47, 21, 25, 57, 27, 28, 30, 31]",Real Bed,5,TRUE,4,60,10,9,10,1,1,103,Entire home/apt,90,https://www.airbnb.com/rooms/7564912?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
10,"[1, 3, 4, 5, 6, 8, 12, 21, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 51, 54]",Real Bed,5,TRUE,3,66,10,10,10,1,1,54,Entire home/apt,97,https://www.airbnb.com/rooms/15012203?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
10,"[33, 35, 4, 5, 37, 8, 40, 41, 11, 44, 45, 47, 25, 28, 30, 31]",Real Bed,5,TRUE,2,50,9,10,10,1,1,63,Private room,93,https://www.airbnb.com/rooms/9465638?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
9,"[1, 35, 4, 36, 5, 40, 41, 42, 43, 44, 45, 47, 49, 50, 21]",Real Bed,4,FALSE,2,53,9,9,9,1,1,11,Entire home/apt,87,https://www.airbnb.com/rooms/16077147?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
9,"[33, 3, 35, 4, 36, 5, 8, 40, 41, 43, 44, 45, 46, 47, 49, 50, 25, 30]",Real Bed,5,TRUE,2,73,10,9,10,1,1,52,Entire home/apt,89,https://www.airbnb.com/rooms/12955409?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
10,"[1, 2, 3, 4, 5, 8, 21, 25, 28, 30, 31, 33, 34, 35, 36, 39, 40, 41, 43, 44, 45, 46, 47, 51, 54]",Real Bed,5,FALSE,2,100,10,10,10,1,209,73,Entire home/apt,96,https://www.airbnb.com/rooms/8302942?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
9,"[33, 34, 35, 4, 5, 21, 8, 40, 25, 41, 30, 31]",Real Bed,5,FALSE,2,73,10,9,10,1,3134,55,Entire home/apt,89,https://www.airbnb.com/rooms/7354425?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
10,"[1, 33, 34, 3, 35, 4, 36, 5, 39, 8, 40, 41, 44, 45, 46, 47, 21, 31]",Real Bed,5,TRUE,3,82,10,9,9,1,0.5,26,Entire home/apt,95,https://www.airbnb.com/rooms/16289747?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
9,"[3, 35, 4, 5, 37, 38, 39, 8, 40, 41, 43, 45, 21, 25, 30, 31]",Real Bed,5,TRUE,5,70,9,9,10,1,1331.5,44,Entire home/apt,89,https://www.airbnb.com/rooms/6933267?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
10,"[1, 35, 4, 36, 5, 8, 40, 41, 43, 44, 45, 46, 47, 21, 25, 30]",Real Bed,3,FALSE,3,85,10,10,10,1,0,90,Entire home/apt,97,https://www.airbnb.com/rooms/4980044?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
10,"[1, 33, 3, 35, 4, 36, 5, 38, 8, 40, 41, 42, 43, 44, 45, 47, 51, 21, 54, 30, 31]",Real Bed,5,TRUE,3,64,10,9,9,1,65.5,39,Entire home/apt,92,https://www.airbnb.com/rooms/15258200?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
9,"[33, 35, 4, 36, 5, 39, 8, 40, 41, 21, 25, 28, 30, 31]",Real Bed,5,TRUE,4,106,9,9,9,0.981000006,173,96,Entire home/apt,87,https://www.airbnb.com/rooms/9017867?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
10,"[3, 4, 5, 8, 21, 28, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 50, 51, 54]",Real Bed,5,FALSE,4,105,10,10,10,1,0.5,97,Entire home/apt,97,https://www.airbnb.com/rooms/5921532?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
10,"[1, 33, 34, 35, 4, 36, 5, 39, 8, 40, 41, 43, 44, 45, 46, 47, 51, 21, 54, 25, 30, 31]",Real Bed,5,FALSE,3,138,10,10,10,1,10080.5,109,Entire home/apt,99,https://www.airbnb.com/rooms/6124104?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
10,"[1, 33, 35, 4, 36, 5, 37, 39, 8, 40, 41, 43, 44, 45, 46, 47, 51, 21, 54, 25, 30, 31]",Real Bed,5,TRUE,3,69,10,9,10,1,241,117,Entire home/apt,93,https://www.airbnb.com/rooms/5043374?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
10,"[3, 4, 5, 6, 73, 21, 25, 30, 31, 33, 34, 35, 36, 38, 39, 40, 41, 43, 44, 45, 46, 47, 51, 54, 61]",Real Bed,5,FALSE,3,61,10,10,10,1,1,106,Entire home/apt,95,https://www.airbnb.com/rooms/10375357?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
9,"[1, 33, 2, 3, 35, 4, 5, 39, 8, 40, 41, 43, 44, 45, 46, 47, 50, 21, 25, 30, 31]",Real Bed,5,FALSE,4,73,10,9,10,0.980000019,1083,132,Entire home/apt,89,https://www.airbnb.com/rooms/676229?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
10,"[33, 3, 4, 5, 8, 40, 41, 43, 44, 45, 30, 31]",Real Bed,5,TRUE,4,101,10,10,10,1,114,55,Entire home/apt,92,https://www.airbnb.com/rooms/14673577?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
10,"[1, 33, 34, 35, 4, 36, 5, 37, 38, 8, 40, 41, 43, 44, 45, 46, 47, 49, 50, 51, 21, 53, 30]",Real Bed,5,TRUE,2,107,10,10,10,1,1,32,Entire home/apt,99,https://www.airbnb.com/rooms/14985153?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
